4,Kabul
44,Nassau
48,Manama
50,Dhaka
52,Bridgetown
64,Thimphu
68,La Paz
70,Sarajevo
72,Gaborone
76,São Paulo
100,Sofia
124,Toronto
144,Colombo
152,Santiago
156,Beijing
170,Bogota
178,Brazzaville
188,San Jose
191,Zagreb
192,Havana
196,Nicosia
203,Prague
208,Copenhagen
218,Quito
222,San Salvador
233,Tallinn
246,Helsinki
251,Paris
276,Berlin
300,Athens
340,Tegucigalpa
344,Victoria
348,Budapest
352,Reykjavik
360,Jakarta
364,Tehran
368,Baghdad
372,Dublin
381,Rome
388,Kingston
392,Tokyo
400,Amman
404,Nairobi
410,Seoul
414,Kuwait
418,Vientiane
422,Beirut
426,Maseru
434,Tripoli
440,Vilnius
442,Luxembourg
450,Antananarivo
458,Kuala Lumpur
462,Male
470,Valletta
484,Mexico (Distrito Federal)
490,Taipei
498,Chisinau
504,Rabat
512,Muscat
524,Kathmandu
528,Amsterdam
554,Wellington
566,Lagos
579,Oslo
586,Islamabad
598,Port Moresby
600,Asuncion
604,Lima
608,Manila
616,Warsaw
620,Lisbon
634,Doha
642,Bucharest
643,Moscow
674,Serravalle
682,Riyadh
686,Dakar
690,Victoria
699,New Delhi
702,Singapore
703,Bratislava
704,Hanoi
705,Ljubljana
716,Harare
724,Madrid
736,Khartoum
752,Stockholm
757,Bern
760,Damascus
764,Bangkok
788,Tunis
792,Istambul
826,London
842,New York
858,Montevideo
862,Caracas
887,Sanaa
891,Belgrade
931,Gaza
